,Channel,Compound,Date,Negative,Neutral,Positive,Tweet_Ago
246,@nytimes,0.3197,Fri Mar 09 19:02:13 +0000 2018,0.0,0.901,0.099,47
247,@nytimes,0.0,Fri Mar 09 18:45:06 +0000 2018,0.0,1.0,0.0,48
248,@nytimes,0.0,Fri Mar 09 18:30:45 +0000 2018,0.0,1.0,0.0,49
249,@nytimes,0.0,Fri Mar 09 18:15:11 +0000 2018,0.0,1.0,0.0,50
250,@nytimes,0.0,Fri Mar 09 18:00:17 +0000 2018,0.0,1.0,0.0,51
251,@nytimes,0.3182,Fri Mar 09 17:45:11 +0000 2018,0.086,0.769,0.145,52
252,@nytimes,0.2263,Fri Mar 09 17:30:15 +0000 2018,0.0,0.881,0.119,53
253,@nytimes,0.3612,Fri Mar 09 17:15:13 +0000 2018,0.0,0.872,0.128,54
254,@nytimes,0.0,Fri Mar 09 17:00:24 +0000 2018,0.0,1.0,0.0,55
255,@nytimes,-0.25,Fri Mar 09 16:44:38 +0000 2018,0.118,0.882,0.0,56
256,@nytimes,0.4215,Fri Mar 09 16:30:20 +0000 2018,0.0,0.859,0.141,57
257,@nytimes,0.6486,Fri Mar 09 16:15:04 +0000 2018,0.0,0.762,0.238,58
258,@nytimes,0.5719,Fri Mar 09 16:02:07 +0000 2018,0.0,0.829,0.171,59
259,@nytimes,0.0,Fri Mar 09 15:45:16 +0000 2018,0.0,1.0,0.0,60
260,@nytimes,-0.4019,Fri Mar 09 15:30:29 +0000 2018,0.184,0.816,0.0,61
261,@nytimes,0.0,Fri Mar 09 15:15:04 +0000 2018,0.0,1.0,0.0,62
262,@nytimes,0.0,Fri Mar 09 15:00:47 +0000 2018,0.0,1.0,0.0,63
263,@nytimes,0.0,Fri Mar 09 14:45:09 +0000 2018,0.0,1.0,0.0,64
264,@nytimes,-0.128,Fri Mar 09 14:30:17 +0000 2018,0.105,0.813,0.081,65
265,@nytimes,-0.8658,Fri Mar 09 14:15:06 +0000 2018,0.303,0.697,0.0,66
266,@nytimes,0.2023,Fri Mar 09 14:00:43 +0000 2018,0.0,0.886,0.114,67
267,@nytimes,-0.3612,Fri Mar 09 13:45:09 +0000 2018,0.16,0.741,0.099,68
268,@nytimes,0.0,Fri Mar 09 13:37:14 +0000 2018,0.0,1.0,0.0,69
269,@nytimes,0.1531,Fri Mar 09 13:33:02 +0000 2018,0.13,0.672,0.197,70
270,@nytimes,0.0,Fri Mar 09 13:24:00 +0000 2018,0.0,1.0,0.0,71
271,@nytimes,0.4047,Fri Mar 09 13:15:11 +0000 2018,0.0,0.836,0.164,72
272,@nytimes,0.5719,Fri Mar 09 13:05:04 +0000 2018,0.0,0.81,0.19,73
273,@nytimes,0.0,Fri Mar 09 13:00:09 +0000 2018,0.0,1.0,0.0,74
274,@nytimes,0.0,Fri Mar 09 12:45:07 +0000 2018,0.0,1.0,0.0,75
275,@nytimes,0.34,Fri Mar 09 12:30:26 +0000 2018,0.0,0.882,0.118,76
276,@nytimes,-0.2748,Fri Mar 09 12:13:02 +0000 2018,0.158,0.729,0.113,77
277,@nytimes,0.128,Fri Mar 09 12:00:09 +0000 2018,0.1,0.779,0.121,78
278,@nytimes,0.0,Fri Mar 09 11:44:01 +0000 2018,0.0,1.0,0.0,79
279,@nytimes,0.0,Fri Mar 09 11:30:15 +0000 2018,0.0,1.0,0.0,80
280,@nytimes,-0.7351,Fri Mar 09 11:15:04 +0000 2018,0.279,0.721,0.0,81
